"number","title","pageid","namespace","length","touched"
"1","Aaliyah","2144","","146691","20171210201041"
"2","Britney_Spears","3382","","167238","20171212012630"
"3","Blythe_Danner","4110","","28198","20171207200759"
"4","Berry_Berenson","4182","","8393","20171201195602"
"5","Charlize_Theron","5132","","48014","20171211145248"
"6","Courtney_Love","5655","","174464","20171211172238"
"7","Carol_Kane","7183","","24748","20171206200810"
"8","Calista_Flockhart","7517","","20206","20171209102245"
"9","Drew_Barrymore","7886","","63163","20171212075655"
"10","Doris_Day","8300","","59889","20171211195134"
"11","Dolly_Parton","8716","","106095","20171212023047"
"12","Dana_Plato","9048","","19389","20171209114758"
"13","Dolores_Fuller","9156","","11759","20171211211829"
"14","Elizabeth_Gracen","10071","","11594","20171209140946"
"15","Emma_Abbott","10120","","8222","20171209140946"
"16","Eve_Arden","10409","","27173","20171211172238"
"17","Elyssa_Davalos","10472","","2617","20171126195008"
"18","Fay_Wray","10965","","23696","20171211172249"
"19","Halle_Berry","13717","","59991","20171212044952"
"20","Jennifer_Lopez","16175","","178163","20171211200257"
"21","Julia_Roberts","16553","","48962","20171212070156"
"22","Khandi_Alexander","17314","","16854","20171210083000"
"23","Kirsten_Dunst","17450","","98690","20171212024458"
"24","Mary_Pickford","18823","","47200","20171211065403"
"25","Marilyn_Monroe","19318","","120899","20171212082355"
"26","Mariah_Carey","19499","","198479","20171211210045"
"27","Mary_Tyler_Moore","20833","","56640","20171212132324"
"28","Nancy_Reagan","21181","","116968","20171211200258"
"29","Nicole_Kidman","21504","","103853","20171211194524"
"30","Nancy_Sinatra","21683","","29345","20171211015434"
"31","Pamela_Anderson","23035","","53482","20171212091136"
"32","Paula_Abdul","23300","","69874","20171212083016"
"33","Peggy_Lee","25147","","30241","20171208224612"
"34","Ruth_Gordon","25866","","25775","20171211125538"
"35","Robin_Wright","26265","","28680","20171211200258"
"36","Shannon_Elizabeth","26675","","16788","20171210072353"
"37","Sheryl_Crow","27152","","64023","20171211232615"
"38","Sarah_Michelle_Gellar","27611","","105404","20171210200520"
"39","Salma_Hayek","27717","","46110","20171211171509"
"40","Sandra_Bullock","29455","","62370","20171212040711"
"41","Sonja_Henie","29491","","30507","20171211195710"
"42","Tiffani_Thiessen","29774","","20526","20171202091606"
"43","Whitney_Houston","34071","","208753","20171211203037"
"44","Winona_Ryder","34078","","69660","20171211145837"
"45","Yeardley_Smith","34351","","31163","20171212052923"
"46","Melissa_Sue_Anderson","36909","","11060","20171127113117"
"47","Denise_Richards","37275","","34311","20171211214520"
"48","Natalie_Portman","38459","","96806","20171211183416"
"49","Eileen_Heckart","38563","","13624","20171212083153"
"50","Mary_Martin","39096","","25633","20171127113117"
"51","Jennifer_Aniston","39942","","91447","20171211194930"
"52","Ingrid_Bergman","41562","","50188","20171211184256"
"53","Cameron_Diaz","42104","","64724","20171211032116"
"54","Gillian_Anderson","42238","","98603","20171211203323"
"55","Elizabeth_Taylor","42357","","109863","20171212052306"
"56","Grace_Kelly","42620","","64607","20171212012323"
"57","Gwyneth_Paltrow","42621","","86273","20171212110259"
"58","Sharon_Stone","43084","","68213","20171212092537"
"59","Ashley_Judd","43113","","40439","20171212060105"
"60","Ava_Gardner","43115","","31756","20171212014306"
"61","Rebecca_De_Mornay","43273","","18156","20171203044018"
